                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 0.4214,                0.46084,                0.43646,                 0.9757,                0.98721,                      1,                  0.995,                0.85031,                0.98721,                      1,                  0.995,                 0.8955,                0.62629,                0.51939,                0.42504,                 1.3481,               0.005644,               0.005644,               0.005644
                     46,                 0.4446,                0.48215,                 0.4627,                   0.99,                 0.9866,                      1,                  0.995,                0.85394,                 0.9866,                      1,                  0.995,                0.87607,                0.60538,                0.66073,                0.38209,                 1.3181,               0.005545,               0.005545,               0.005545
                     47,                0.40744,                0.36617,                0.43171,                0.96435,                0.98157,                      1,                  0.995,                0.87471,                0.98157,                      1,                  0.995,                 0.8955,                0.54684,                0.55614,                0.39675,                 1.1044,               0.005446,               0.005446,               0.005446
                     48,                0.44852,                0.41816,                0.44184,                0.99258,                0.97711,                      1,                  0.995,                0.85952,                0.97711,                      1,                  0.995,                0.90175,                0.58896,                0.49941,                 0.4206,                 1.1286,               0.005347,               0.005347,               0.005347
                     49,                0.42853,                0.48208,                0.42489,                0.94372,                0.97703,                      1,                  0.995,                0.82397,                0.97703,                      1,                  0.995,                0.88123,                0.72227,                0.47858,                0.54465,                 1.1845,               0.005248,               0.005248,               0.005248
                     50,                 0.4408,                0.48565,                0.46694,                0.98068,                0.97607,                      1,                  0.995,                0.84007,                0.97607,                      1,                  0.995,                0.87064,                0.64084,                 0.4378,                0.44628,                 1.1413,               0.005149,               0.005149,               0.005149
                     51,                0.39819,                0.43468,                0.39949,                0.97518,                0.98872,                      1,                  0.995,                0.92277,                0.98872,                      1,                  0.995,                0.94456,                0.49548,                0.34905,                0.40873,                0.90167,                0.00505,                0.00505,                0.00505
                     52,                0.44832,                0.45686,                0.44327,                0.97309,                0.98424,                      1,                  0.995,                0.88525,                0.98424,                      1,                  0.995,                0.93909,                 0.5695,                0.37932,                0.45466,                 1.0263,               0.004951,               0.004951,               0.004951
                     53,                0.40328,                0.44134,                0.39803,                0.96447,                0.94596,                      1,                  0.995,                0.89844,                0.94596,                      1,                  0.995,                0.96346,                0.54259,                0.41148,                0.44816,                0.99339,               0.004852,               0.004852,               0.004852
                     54,                0.37175,                0.38949,                0.38928,                0.96936,                0.96925,                      1,                  0.995,                0.91975,                0.96925,                      1,                  0.995,                0.96424,                0.52505,                 0.4287,                0.52564,                0.91627,               0.004753,               0.004753,               0.004753
                     55,                0.37654,                0.40753,                0.36993,                0.96726,                0.97411,                      1,                  0.995,                0.85435,                0.97411,                      1,                  0.995,                0.91617,                0.63871,                 0.4747,                0.56587,                 1.0538,               0.004654,               0.004654,               0.004654
                     56,                0.38867,                0.37903,                0.36922,                0.93853,                0.97664,                      1,                  0.995,                0.87598,                0.97664,                      1,                  0.995,                0.93085,                0.53607,                0.51363,                 0.4796,                0.94465,               0.004555,               0.004555,               0.004555
                     57,                 0.3912,                0.54783,                0.45981,                0.96365,                0.97454,                      1,                  0.995,                0.85519,                0.97454,                      1,                  0.995,                0.93748,                0.57291,                0.44114,                0.48572,                 1.0264,               0.004456,               0.004456,               0.004456
                     58,                 0.4097,                0.47184,                0.41965,                0.96718,                0.98496,                      1,                  0.995,                0.86727,                0.98496,                      1,                  0.995,                0.95528,                0.51917,                0.39505,                0.50687,                 1.0038,               0.004357,               0.004357,               0.004357
                     59,                0.36565,                0.38207,                0.39762,                0.95521,                0.98775,                      1,                  0.995,                 0.9468,                0.98775,                      1,                  0.995,                0.97979,                0.41542,                0.35689,                0.53937,                 0.8606,               0.004258,               0.004258,               0.004258
                     60,                0.36871,                0.39918,                0.39508,                0.95138,                 0.9842,                      1,                  0.995,                 0.9144,                 0.9842,                      1,                  0.995,                0.98131,                0.42858,                0.35612,                0.43368,                0.85313,               0.004159,               0.004159,               0.004159
                     61,                0.39054,                0.46817,                0.40737,                0.93059,                0.97642,                      1,                  0.995,                0.90559,                0.97642,                      1,                  0.995,                0.93115,                0.40088,                0.39005,                0.40315,                0.79923,                0.00406,                0.00406,                0.00406
                     62,                0.39995,                0.36247,                0.38055,                0.96263,                0.97857,                      1,                  0.995,                0.90744,                0.97857,                      1,                  0.995,                0.94525,                0.39483,                0.47358,                0.37988,                0.77853,               0.003961,               0.003961,               0.003961
                     63,                0.39309,                0.39555,                0.41344,                 0.9695,                0.98117,                      1,                  0.995,                0.97111,                0.98117,                      1,                  0.995,                0.95376,                 0.3692,                0.44934,                0.46247,                0.73276,               0.003862,               0.003862,               0.003862
                     64,                0.36526,                0.34909,                0.38146,                0.93831,                0.98072,                      1,                  0.995,                0.89794,                0.98072,                      1,                  0.995,                 0.8674,                0.46213,                0.66418,                0.63932,                0.91014,               0.003763,               0.003763,               0.003763
                     65,                0.34987,                0.42893,                0.36586,                0.90767,                0.98784,                      1,                  0.995,                0.97123,                0.98784,                      1,                  0.995,                0.97876,                0.42433,                0.41472,                0.48624,                0.81475,               0.003664,               0.003664,               0.003664
                     66,                0.39376,                0.40591,                0.43437,                0.96862,                0.98672,                      1,                  0.995,                 0.9461,                0.98672,                      1,                  0.995,                0.97886,                0.38288,                0.41524,                 0.3694,                0.76243,               0.003565,               0.003565,               0.003565
                     67,                 0.3495,                 0.3601,                0.36407,                0.93537,                0.98392,                      1,                  0.995,                0.92208,                0.98392,                      1,                  0.995,                0.96236,                 0.3549,                  0.367,                0.41348,                0.74822,               0.003466,               0.003466,               0.003466
                     68,                0.38185,                 0.4193,                0.43106,                0.95109,                0.97952,                      1,                  0.995,                0.92141,                0.97952,                      1,                  0.995,                0.96242,                0.37137,                0.33933,                0.40423,                 0.7705,               0.003367,               0.003367,               0.003367
                     69,                0.34862,                0.35305,                0.34968,                0.92693,                0.97713,                      1,                  0.995,                0.91111,                0.97713,                      1,                  0.995,                0.96273,                0.40966,                0.30257,                0.38472,                0.83047,               0.003268,               0.003268,               0.003268
                     70,                0.37785,                0.40911,                0.39267,                0.96871,                0.97719,                      1,                  0.995,                0.90312,                0.97719,                      1,                  0.995,                0.96272,                0.42233,                0.31857,                0.41016,                0.82843,               0.003169,               0.003169,               0.003169
                     71,                0.34472,                 0.3795,                0.34692,                0.94766,                0.97904,                      1,                  0.995,                0.90862,                0.97904,                      1,                  0.995,                 0.9277,                0.41709,                0.34391,                0.56175,                0.83316,                0.00307,                0.00307,                0.00307
                     72,                0.34553,                0.37205,                0.35499,                0.94437,                0.97954,                      1,                  0.995,                0.91483,                0.97954,                      1,                  0.995,                0.95178,                0.38701,                0.33805,                0.49792,                0.81292,               0.002971,               0.002971,               0.002971
                     73,                0.32491,                  0.341,                0.34339,                0.91572,                0.98103,                      1,                  0.995,                 0.9557,                0.98103,                      1,                  0.995,                0.94039,                0.33439,                0.34589,                0.31963,                0.74932,               0.002872,               0.002872,               0.002872
                     74,                0.36477,                0.34834,                0.33565,                0.93771,                0.98332,                      1,                  0.995,                 0.9781,                0.98332,                      1,                  0.995,                0.96766,                0.31591,                0.34003,                0.32977,                 0.7274,               0.002773,               0.002773,               0.002773
