                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.44266,                0.74435,                0.47588,                0.96834,                 0.9617,                0.93387,                  0.995,                0.82545,                 0.9617,                0.93387,                  0.995,                0.70342,                0.71273,                 1.3184,                0.89481,                 1.2638,               0.005149,               0.005149,               0.005149
                     51,                0.41899,                0.66457,                0.51756,                0.99226,                0.98388,                      1,                  0.995,                0.96408,                0.98388,                      1,                  0.995,                0.93425,                0.37565,                0.63061,                0.51021,                0.81185,                0.00505,                0.00505,                0.00505
                     52,                0.42703,                0.68715,                0.46184,                0.99484,                0.98383,                      1,                  0.995,                0.93363,                0.98383,                      1,                  0.995,                0.92628,                 0.3421,                0.45543,                0.46759,                0.78223,               0.004951,               0.004951,               0.004951
                     53,                0.44194,                 0.7428,                0.48828,                 1.0113,                0.98661,                      1,                  0.995,                0.97898,                0.98661,                      1,                  0.995,                  0.927,                0.30892,                0.40054,                0.36285,                 0.7318,               0.004852,               0.004852,               0.004852
                     54,                 0.4011,                0.62838,                0.44218,                0.94714,                0.98277,                      1,                  0.995,                0.91872,                0.98277,                      1,                  0.995,                  0.927,                 0.3514,                0.39112,                0.32861,                0.77965,               0.004753,               0.004753,               0.004753
                     55,                0.46512,                0.72274,                0.50218,                 1.0099,                0.98855,                      1,                  0.995,                0.97554,                0.98855,                      1,                  0.995,                0.94005,                0.30351,                0.43904,                0.33777,                0.74376,               0.004654,               0.004654,               0.004654
                     56,                0.40641,                0.58532,                0.49011,                0.97462,                0.98824,                      1,                  0.995,                0.95648,                0.98824,                      1,                  0.995,                0.95643,                0.31957,                0.50747,                0.36641,                0.73847,               0.004555,               0.004555,               0.004555
                     57,                0.38262,                0.56755,                0.44954,                0.96062,                 0.9891,                      1,                  0.995,                0.97193,                 0.9891,                      1,                  0.995,                0.96237,                0.29864,                0.37477,                0.35807,                0.71676,               0.004456,               0.004456,               0.004456
                     58,                0.42345,                0.57956,                0.45002,                0.96767,                0.98895,                      1,                  0.995,                0.98823,                0.98895,                      1,                  0.995,                0.96237,                0.28199,                 0.3773,                0.30604,                0.67415,               0.004357,               0.004357,               0.004357
                     59,                0.39564,                0.54332,                0.41888,                0.94694,                0.98003,                      1,                  0.995,                0.96034,                0.98003,                      1,                  0.995,                0.95143,                0.30643,                0.37053,                0.27402,                0.69208,               0.004258,               0.004258,               0.004258
                     60,                0.44565,                0.90603,                0.50392,                0.99508,                0.98118,                      1,                  0.995,                0.92949,                0.98118,                      1,                  0.995,                0.91616,                 0.3764,                0.41604,                0.26465,                0.74833,               0.004159,               0.004159,               0.004159
                     61,                0.42079,                0.56404,                0.38855,                 0.9885,                0.98587,                      1,                  0.995,                0.94003,                0.98587,                      1,                  0.995,                0.91576,                0.36745,                0.38671,                0.30206,                0.78055,                0.00406,                0.00406,                0.00406
                     62,                0.40954,                0.66156,                0.50495,                 0.9866,                0.98588,                      1,                  0.995,                0.92805,                0.98588,                      1,                  0.995,                0.94089,                0.37174,                0.36481,                0.33131,                0.80732,               0.003961,               0.003961,               0.003961
                     63,                0.41892,                0.56879,                0.40066,                0.97274,                0.98477,                      1,                  0.995,                0.93957,                0.98477,                      1,                  0.995,                0.94111,                0.38644,                0.37968,                0.35087,                0.84254,               0.003862,               0.003862,               0.003862
                     64,                0.37171,                0.41962,                0.39294,                0.92633,                0.96702,                      1,                  0.995,                0.95432,                0.96702,                      1,                  0.995,                0.91679,                0.37398,                0.37677,                0.38935,                 0.7921,               0.003763,               0.003763,               0.003763
                     65,                0.43097,                 0.6733,                0.51378,                 1.0117,                0.96246,                      1,                  0.995,                0.91438,                0.96246,                      1,                  0.995,                0.89382,                 0.3518,                0.40868,                0.40811,                0.75839,               0.003664,               0.003664,               0.003664
                     66,                0.45483,                0.67734,                0.46734,                 1.0215,                0.96964,                      1,                  0.995,                0.91722,                0.96964,                      1,                  0.995,                0.90765,                 0.3774,                 0.4026,                 0.3669,                0.78008,               0.003565,               0.003565,               0.003565
